Entity,Code,Year,natural_ha_share
Afghanistan,AFG,1780,77.01981201
Afghanistan,AFG,1790,76.52870324
Afghanistan,AFG,1800,75.9888453
Afghanistan,AFG,1810,75.4112122
Afghanistan,AFG,1820,74.78155435
Afghanistan,AFG,1830,74.02083324
Afghanistan,AFG,1840,72.98711963
Afghanistan,AFG,1850,71.80466985
Afghanistan,AFG,1860,70.50811561
Afghanistan,AFG,1870,69.02351783
Afghanistan,AFG,1880,67.15491182
Afghanistan,AFG,1890,64.85425341
Afghanistan,AFG,1900,62.19864308
Afghanistan,AFG,1910,59.17634734
Afghanistan,AFG,1920,55.15756586
Afghanistan,AFG,1930,50.75533089
Afghanistan,AFG,1940,45.80892421
Afghanistan,AFG,1950,40.43129242
Afghanistan,AFG,1960,30.36349271
Afghanistan,AFG,1970,29.8185049
Afghanistan,AFG,1980,29.64325048
Afghanistan,AFG,1990,29.53110287
Afghanistan,AFG,2000,29.67491789
Afghanistan,AFG,2010,29.61219274
Africa,,1780,60.81103532
Africa,,1790,60.57634846
Africa,,1800,60.327051
Africa,,1810,60.06094948
Africa,,1820,59.70562621
Africa,,1830,59.19869297
Africa,,1840,58.64392621
Africa,,1850,58.05573245
Africa,,1860,57.37533684
Africa,,1870,56.5841501
Africa,,1880,55.64728982
Africa,,1890,54.71131379
Africa,,1900,53.63026903
Africa,,1910,52.24821091
Africa,,1920,50.44694767
Africa,,1930,48.50280706
Africa,,1940,46.13092449
Africa,,1950,43.71870076
Africa,,1960,38.92865682
Africa,,1970,40.00152412
Africa,,1980,40.30598115
Africa,,1990,40.05779066
Africa,,2000,41.4692534
Africa,,2010,41.59363847
Albania,ALB,1780,87.2342071
Albania,ALB,1790,86.96439162
Albania,ALB,1800,86.68533154
Albania,ALB,1810,86.38878458
Albania,ALB,1820,86.08386191
Albania,ALB,1830,85.82786016
Albania,ALB,1840,85.16015873
Albania,ALB,1850,84.39144569
Albania,ALB,1860,83.15952422
Albania,ALB,1870,81.88998871
Albania,ALB,1880,80.35125976
Albania,ALB,1890,78.74950931
Albania,ALB,1900,76.77803956
Albania,ALB,1910,74.71275616
Albania,ALB,1920,72.88395695
Albania,ALB,1930,71.52220929
Albania,ALB,1940,68.82209756
Albania,ALB,1950,64.64640925
Albania,ALB,1960,54.14129184
Albania,ALB,1970,54.40484136
Albania,ALB,1980,57.92374628
Albania,ALB,1990,59.22340517
Albania,ALB,2000,60.79008727
Albania,ALB,2010,62.8023472
Algeria,DZA,1780,8.270419718
Algeria,DZA,1790,8.18996738
Algeria,DZA,1800,8.110790257
Algeria,DZA,1810,8.029929357
Algeria,DZA,1820,7.94680331
Algeria,DZA,1830,7.530969824
Algeria,DZA,1840,7.115774466
Algeria,DZA,1850,6.696824875
Algeria,DZA,1860,6.273357441
Algeria,DZA,1870,5.845625708
Algeria,DZA,1880,5.415478727
Algeria,DZA,1890,4.982874125
Algeria,DZA,1900,4.550536101
Algeria,DZA,1910,4.110125122
Algeria,DZA,1920,3.674635425
Algeria,DZA,1930,3.250017861
Algeria,DZA,1940,2.858368975
Algeria,DZA,1950,2.584671674
Algeria,DZA,1960,2.124573547
Algeria,DZA,1970,6.564063827
Algeria,DZA,1980,7.816205091
Algeria,DZA,1990,9.407336034
Algeria,DZA,2000,9.408117953
Algeria,DZA,2010,9.371039329
Angola,AGO,1780,90.89051804
Angola,AGO,1790,90.43995287
Angola,AGO,1800,89.96256434
Angola,AGO,1810,89.45706495
Angola,AGO,1820,88.85597921
Angola,AGO,1830,88.21553732
Angola,AGO,1840,87.53393942
Angola,AGO,1850,86.80635554
Angola,AGO,1860,86.03063567
Angola,AGO,1870,85.06750563
Angola,AGO,1880,84.02852684
Angola,AGO,1890,82.90685595
Angola,AGO,1900,81.69636873
Angola,AGO,1910,80.38710533
Angola,AGO,1920,77.25179352
Angola,AGO,1930,74.0702635
Angola,AGO,1940,69.85981892
Angola,AGO,1950,65.50819666
Angola,AGO,1960,58.69585102
Angola,AGO,1970,58.62066237
Angola,AGO,1980,58.61264144
Angola,AGO,1990,58.61049195
Angola,AGO,2000,58.68872614
Angola,AGO,2010,58.64551637
Argentina,ARG,1780,90.16456249
Argentina,ARG,1790,89.99464878
Argentina,ARG,1800,89.77211762
Argentina,ARG,1810,89.48378525
Argentina,ARG,1820,89.08164362
Argentina,ARG,1830,88.54530899
Argentina,ARG,1840,87.88667569
Argentina,ARG,1850,87.10722604
Argentina,ARG,1860,86.14376763
Argentina,ARG,1870,84.94632375
Argentina,ARG,1880,83.41919868
Argentina,ARG,1890,81.44124949
Argentina,ARG,1900,78.9754078
Argentina,ARG,1910,74.77511637
Argentina,ARG,1920,69.62676458
Argentina,ARG,1930,62.97205072
Argentina,ARG,1940,57.44219957
Argentina,ARG,1950,52.35667136
Argentina,ARG,1960,44.52094058
Argentina,ARG,1970,47.78886033
Argentina,ARG,1980,49.59532376
Argentina,ARG,1990,50.60771557
Argentina,ARG,2000,51.12701648
Argentina,ARG,2010,51.18072886
Armenia,ARM,1780,69.49166709
Armenia,ARM,1790,68.7457092
Armenia,ARM,1800,67.96896614
Armenia,ARM,1810,67.15915384
Armenia,ARM,1820,66.30700697
Armenia,ARM,1830,65.32811094
Armenia,ARM,1840,64.30984736
Armenia,ARM,1850,63.23087705
Armenia,ARM,1860,62.12504493
Armenia,ARM,1870,60.95482674
Armenia,ARM,1880,59.71179986
Armenia,ARM,1890,58.44084957
Armenia,ARM,1900,57.19042336
Armenia,ARM,1910,56.03670278
Armenia,ARM,1920,54.56113501
Armenia,ARM,1930,52.94760806
Armenia,ARM,1940,46.52566049
Armenia,ARM,1950,45.48530312
Armenia,ARM,1960,35.09581239
Armenia,ARM,1970,38.90711641
Armenia,ARM,1980,38.72352272
Armenia,ARM,1990,47.30187214
Armenia,ARM,2000,48.627215
Armenia,ARM,2010,49.78017952
Asia,,1780,63.9625661
Asia,,1790,63.50740788
Asia,,1800,63.28235343
Asia,,1810,62.53206425
Asia,,1820,62.11396012
Asia,,1830,61.4617527
Asia,,1840,60.91659306
Asia,,1850,60.31375881
Asia,,1860,60.22921057
Asia,,1870,59.97380289
Asia,,1880,59.09166501
Asia,,1890,57.96088129
Asia,,1900,56.49758099
Asia,,1910,54.92828989
Asia,,1920,53.03628102
Asia,,1930,51.47669359
Asia,,1940,48.80223045
Asia,,1950,47.74532446
Asia,,1960,40.4202575
Asia,,1970,39.85444515
Asia,,1980,39.35993861
Asia,,1990,36.95146236
Asia,,2000,35.67305613
Asia,,2010,35.94392964
Australia,AUS,1780,98.04709244
Australia,AUS,1790,98.04708623
Australia,AUS,1800,98.04706934
Australia,AUS,1810,98.04704286
Australia,AUS,1820,98.04616472
Australia,AUS,1830,98.00246321
Australia,AUS,1840,97.77758772
Australia,AUS,1850,95.13672746
Australia,AUS,1860,93.80786138
Australia,AUS,1870,91.91944706
Australia,AUS,1880,89.26588011
Australia,AUS,1890,85.41385126
Australia,AUS,1900,79.90038081
Australia,AUS,1910,71.8760466
Australia,AUS,1920,60.13834598
Australia,AUS,1930,55.92397322
Australia,AUS,1940,51.2552843
Australia,AUS,1950,46.10689837
Australia,AUS,1960,40.78950238
Australia,AUS,1970,39.71136383
Australia,AUS,1980,40.34780657
Australia,AUS,1990,43.49291717
Australia,AUS,2000,46.60406844
